"Id";"Name";"Type";"Chiralium";"Attack";"Defense";"Delivery";"Description";"Effect";"Behavior";"Strength"
"generic-052";"Guide of the Silent Valley";"Porter";"2";"2";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-054";"Lookout of the Silent Valley";"Porter";"2";"1";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-056";"Explorer of the Silent Valley";"Porter";"2";"3";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-057";"Tracker of the Silent Valley";"Porter";"2";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-058";"Hauler of the Silent Valley";"Porter";"2";"2";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-060";"Pioneer of the Silent Valley";"Porter";"2";"1";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"equipment-002";"Chiral Cargo";"Equipment";"2";"0";"3";"0";"Fragments of a world that can still be reunited.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-034";"Rain Filter";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-035";"Insulated Cape";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-036";"Walking Staff";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-037";"Reinforced Backpack";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-038";"Cargo Stabilizer";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-039";"Folding Ladder";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-040";"Long-Range Radio";"Equipment";"2";"0";"3";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-043";"Terminal of the Black Coast";"Structure";"2";"0";"5";"1";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-049";"Beacon of the Black Coast";"Structure";"2";"0";"5";"1";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-055";"Depot of the Black Coast";"Structure";"2";"0";"5";"1";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"event-002";"Forest Fire";"Event";"2";"0";"0";"0";"Fire finds even the forgotten paths.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-027";"Electrical Storm";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-028";"Moment of Calm";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -1 until the next turn (range: 2–6).";"5";"1"
"generic-029";"Broken Bridges";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-030";"Ash in the Air";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-031";"Chiral Silence";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-032";"Marked Trail";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -1 until the next turn (range: 2–6).";"5";"1"
"generic-033";"Strong Current";"Event";"2";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"entity-002";"Submerged Voices";"Entity";"2";"2";"4";"1";"The ocean keeps every unanswered message.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-041";"Shade of the Black Coast";"Entity";"2";"3";"3";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-047";"Memory of the Black Coast";"Entity";"2";"3";"3";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-053";"Specter of the Black Coast";"Entity";"2";"3";"3";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-059";"Presence of the Black Coast";"Entity";"2";"3";"3";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-075";"Wanderer of the Silent Valley";"Porter";"3";"2";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-076";"Rescuer of the Silent Valley";"Porter";"3";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-077";"Navigator of the Silent Valley";"Porter";"3";"4";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-079";"Guardian of the Silent Valley";"Porter";"3";"3";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-081";"Surveyor of the Silent Valley";"Porter";"3";"2";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-082";"Driver of the Silent Valley";"Porter";"3";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-083";"Veteran of the Silent Valley";"Porter";"3";"4";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-085";"Courier of the Broken Ridge";"Porter";"3";"3";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-087";"Scout of the Broken Ridge";"Porter";"3";"2";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-088";"Guide of the Broken Ridge";"Porter";"3";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-089";"Lookout of the Broken Ridge";"Porter";"3";"4";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-091";"Explorer of the Broken Ridge";"Porter";"3";"3";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-093";"Tracker of the Broken Ridge";"Porter";"3";"2";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-094";"Hauler of the Broken Ridge";"Porter";"3";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-095";"Pioneer of the Broken Ridge";"Porter";"3";"4";"4";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"porter-001";"Last Courier";"Porter";"3";"2";"4";"2";"The last link between cities that have forgotten their names.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-069";"Magnetic Glove";"Equipment";"3";"0";"4";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-070";"Protective Suit";"Equipment";"3";"0";"4";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-071";"Portable Anchor";"Equipment";"3";"0";"4";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-072";"Backup Battery";"Equipment";"3";"0";"4";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-073";"Crossing Radar";"Equipment";"3";"0";"4";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-074";"Outpost of the Black Coast";"Structure";"3";"0";"6";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-080";"Station of the Black Coast";"Structure";"3";"0";"6";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-086";"Tower of the Black Coast";"Structure";"3";"0";"6";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-092";"Shelter of the Silent Valley";"Structure";"3";"0";"6";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"structure-001";"Silent Station";"Structure";"3";"0";"6";"2";"A light stays on for those still walking.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-061";"Rockslide";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-062";"Obscured Horizon";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-063";"Restored Path";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -2 until the next turn (range: 2–6).";"5";"2"
"generic-064";"Network Failure";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-065";"Shower of Fragments";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-066";"Frozen Crossing";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-067";"Safe Corridor";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -2 until the next turn (range: 2–6).";"5";"2"
"generic-068";"Void on the Road";"Event";"3";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-078";"Vestige of the Black Coast";"Entity";"3";"2";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-084";"Echo of the Silent Valley";"Entity";"3";"2";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-090";"Shadow of the Silent Valley";"Entity";"3";"2";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-096";"Shade of the Silent Valley";"Entity";"3";"2";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-102";"Wanderer of the Broken Ridge";"Porter";"4";"3";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-104";"Rescuer of the Broken Ridge";"Porter";"4";"5";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-105";"Navigator of the Broken Ridge";"Porter";"4";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-106";"Guardian of the Broken Ridge";"Porter";"4";"4";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-108";"Surveyor of the Broken Ridge";"Porter";"4";"3";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-110";"Driver of the Broken Ridge";"Porter";"4";"5";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-111";"Veteran of the Broken Ridge";"Porter";"4";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-112";"Courier of the Gray Horizon";"Porter";"4";"4";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-114";"Scout of the Gray Horizon";"Porter";"4";"3";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-116";"Guide of the Gray Horizon";"Porter";"4";"5";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-117";"Lookout of the Gray Horizon";"Porter";"4";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-118";"Explorer of the Gray Horizon";"Porter";"4";"4";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-120";"Tracker of the Gray Horizon";"Porter";"4";"3";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-122";"Hauler of the Gray Horizon";"Porter";"4";"5";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-123";"Pioneer of the Gray Horizon";"Porter";"4";"3";"5";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-124";"Wanderer of the Gray Horizon";"Porter";"4";"4";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-126";"Rescuer of the Gray Horizon";"Porter";"4";"3";"6";"2";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-099";"Light Exoskeleton";"Equipment";"4";"0";"5";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-100";"Navigation Kit";"Equipment";"4";"0";"5";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-101";"Rescue Winch";"Equipment";"4";"0";"5";"0";"A simple tool for crossing difficult terrain.";"On the field: +2 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"2"
"generic-103";"Bridge of the Silent Valley";"Structure";"4";"0";"7";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-109";"Terminal of the Silent Valley";"Structure";"4";"0";"7";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-115";"Beacon of the Silent Valley";"Structure";"4";"0";"7";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-121";"Depot of the Silent Valley";"Structure";"4";"0";"7";"2";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-097";"Echo of the Storm";"Event";"4";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"generic-098";"Fallen Antennas";"Event";"4";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +2 until the next turn (range: 2–6).";"4";"2"
"entity-001";"Threshold Shade";"Entity";"4";"3";"5";"2";"Something on the other side also longs to arrive.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-107";"Memory of the Silent Valley";"Entity";"4";"5";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-113";"Specter of the Silent Valley";"Entity";"4";"5";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-119";"Presence of the Silent Valley";"Entity";"4";"5";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-125";"Vestige of the Silent Valley";"Entity";"4";"5";"5";"2";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 2 point(s).";"0";"0"
"generic-133";"Navigator of the Gray Horizon";"Porter";"5";"5";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-134";"Guardian of the Gray Horizon";"Porter";"5";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-135";"Surveyor of the Gray Horizon";"Porter";"5";"4";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-137";"Driver of the Gray Horizon";"Porter";"5";"6";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-139";"Veteran of the Gray Horizon";"Porter";"5";"5";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-140";"Courier of the Last Station";"Porter";"5";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-141";"Scout of the Last Station";"Porter";"5";"4";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-143";"Guide of the Last Station";"Porter";"5";"6";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-145";"Lookout of the Last Station";"Porter";"5";"5";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-146";"Explorer of the Last Station";"Porter";"5";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-147";"Tracker of the Last Station";"Porter";"5";"4";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-149";"Hauler of the Last Station";"Porter";"5";"6";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-151";"Pioneer of the Last Station";"Porter";"5";"5";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-152";"Wanderer of the Last Station";"Porter";"5";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-153";"Rescuer of the Last Station";"Porter";"5";"4";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-155";"Navigator of the Last Station";"Porter";"5";"6";"6";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
