"Number";"Name";"Cost";"Type";"Color";"Rarity";"Inkable"
"153";"Merlin - Self-Appointed Mentor";"4";"Character";"Sapphire";"Common";"Yes"
"154";"Mickey Mouse - Detective";"3";"Character";"Sapphire";"Common";"No"
"155";"Mufasa - King of the Pride Lands";"6";"Character";"Sapphire";"Common";"Yes"
"156";"Philoctetes - Trainer of Heroes";"2";"Character";"Sapphire";"Common";"Yes"
"157";"Robin Hood - Unrivaled Archer";"6";"Character";"Sapphire";"Super Rare";"Yes"
"158";"Scar - Mastermind";"6";"Character";"Sapphire";"Rare";"Yes"
"159";"Tamatoa - So Shiny!";"8";"Character";"Sapphire";"Super Rare";"Yes"
"160";"Triton - The Sea King";"7";"Character";"Sapphire";"Uncommon";"Yes"
"161";"Develop Your Brain";"1";"Action";"Sapphire";"Common";"Yes"
"162";"If It's Not Baroque";"3";"Action";"Sapphire";"Rare";"No"
"163";"Let It Go";"5";"Action";"Sapphire";"Rare";"Yes"
"164";"One Jump Ahead";"2";"Action";"Sapphire";"Uncommon";"No"
"165";"Work Together";"1";"Action";"Sapphire";"Common";"Yes"
"166";"Coconut Basket";"2";"Item";"Sapphire";"Uncommon";"Yes"
"167";"Eye of the Fates";"4";"Item";"Sapphire";"Uncommon";"Yes"
"168";"Fishbone Quill";"3";"Item";"Sapphire";"Rare";"Yes"
"169";"Magic Golden Flower";"1";"Item";"Sapphire";"Common";"Yes"
"170";"Scepter of Arendelle";"1";"Item";"Sapphire";"Uncommon";"Yes"
"171";"Aladdin - Cornered Swordsman";"2";"Character";"Steel";"Common";"Yes"
"172";"Beast - Hardheaded";"5";"Character";"Steel";"Uncommon";"Yes"
"173";"Captain Hook - Captain of the Jolly Roger";"4";"Character";"Steel";"Rare";"No"
"174";"Captain Hook - Forceful Duelist";"1";"Character";"Steel";"Common";"Yes"
"175";"Captain Hook - Thinking a Happy Thought";"5";"Character";"Steel";"Rare";"No"
"176";"Cerberus - Three-Headed Dog";"5";"Character";"Steel";"Common";"Yes"
"177";"Donald Duck - Musketeer";"4";"Character";"Steel";"Uncommon";"Yes"
"178";"Gantu - Galactic Federation Captain";"8";"Character";"Steel";"Legendary";"Yes"
"179";"Goons - Maleficent's Underlings";"1";"Character";"Steel";"Common";"Yes"
"180";"Hans - Thirteenth in Line";"4";"Character";"Steel";"Super Rare";"Yes"
"181";"Hercules - True Hero";"3";"Character";"Steel";"Common";"Yes"
"182";"Kristoff - Official Ice Master";"3";"Character";"Steel";"Common";"Yes"
"183";"Kronk - Right-Hand Man";"6";"Character";"Steel";"Uncommon";"Yes"
"184";"Lilo - Galactic Hero";"3";"Character";"Steel";"Uncommon";"Yes"
"185";"Maui - Demigod";"8";"Character";"Steel";"Rare";"Yes"
"186";"Mickey Mouse - Musketeer";"6";"Character";"Steel";"Rare";"Yes"
"187";"Prince Eric - Dashing and Brave";"2";"Character";"Steel";"Common";"Yes"
"188";"Simba - Future King";"1";"Character";"Steel";"Common";"Yes"
"189";"Simba - Returned King";"7";"Character";"Steel";"Rare";"Yes"
"190";"Simba - Rightful Heir";"5";"Character";"Steel";"Uncommon";"No"
"191";"Starkey - Hook's Henchman";"5";"Character";"Steel";"Uncommon";"Yes"
"192";"Te Kā - Heartless";"6";"Character";"Steel";"Legendary";"Yes"
"193";"Tinker Bell - Giant Fairy";"6";"Character";"Steel";"Super Rare";"Yes"
"194";"Tinker Bell - Tiny Tactician";"3";"Character";"Steel";"Common";"Yes"
"195";"A Whole New World";"5";"Action";"Steel";"Super Rare";"No"
"196";"Break";"2";"Action";"Steel";"Common";"Yes"
"197";"Fire the Cannons!";"1";"Action";"Steel";"Common";"No"
"198";"Grab Your Sword";"5";"Action";"Steel";"Rare";"No"
"199";"Ransack";"2";"Action";"Steel";"Uncommon";"Yes"
"200";"Smash";"3";"Action";"Steel";"Uncommon";"Yes"
"201";"Beast's Mirror";"2";"Item";"Steel";"Common";"Yes"
"202";"Frying Pan";"2";"Item";"Steel";"Uncommon";"Yes"
"203";"Musketeer Tabard";"4";"Item";"Steel";"Rare";"No"
"204";"Plasma Blaster";"3";"Item";"Steel";"Rare";"No"
